date,nitrate_plus_nitrite_conc_mgL,orthophosphate_conc_mgL,total_phosphorus_unfiltered_conc_mgL,month
2007-03-31,7.8036496350364954,1.501291970802919,2.1584160583941605,3
2007-04-30,17.675,1.7372199999999998,2.8283200000000006,4
2007-05-31,22.1125,0.8208750000000001,1.2072500000000002,5
2007-06-30,8.928571428571429,1.2679285714285713,1.7228571428571426,6
2007-07-31,11.895454545454548,1.4502272727272727,2.021727272727272,7
2007-08-31,3.151351351351351,1.3837027027027031,2.205756756756756,8
2007-09-30,9.686,1.8149000000000002,4.4619,9
2007-10-31,11.101132075471698,1.2642264150943396,2.321018867924529,10
2007-11-30,,,,11
2007-12-31,37.05,0.57675,0.7960499999999999,12
2008-01-31,18.8030612244898,1.0606938775510202,1.4064285714285718,1
2008-02-29,5.0375000000000005,0.9055,1.2715,2
2008-03-31,5.550476190476192,1.1150000000000018,1.4699833333333323,3
2008-04-30,16.416176470588244,1.728852941176471,3.087205882352941,4
2008-05-31,2.6027777777777787,0.8619722222222223,4.906805555555554,5
2008-06-30,9.157164179104477,0.886231343283582,3.5319552238805954,6
2008-07-31,1.2477272727272728,0.7940227272727273,1.5672954545454543,7
2008-08-31,34.5,0.068,0.09000000000000001,8
2008-09-30,12.199999999999998,0.38000000000000006,0.44,9
2008-10-31,,,,10
2008-11-30,,,,11
2008-12-31,3.7375,4.1061250000000005,4.4041250000000005,12
2009-01-31,,,,1
2009-02-28,4.4985294117647046,3.455352941176472,4.5792794117647055,2
2009-03-31,12.266666666666667,3.4322631578947362,4.283473684210527,3
2009-04-30,25.307692307692303,1.7710769230769228,2.272153846153846,4
2009-05-31,0.7,1.7999999999999998,3.3574999999999995,5
2009-06-30,36.89,0.49739999999999995,1.1953,6
2009-07-31,0.461111111111111,1.4912777777777781,2.9722222222222223,7
2009-08-31,4.311111111111111,1.2232222222222222,2.5477777777777773,8
2009-09-30,28.5,0.16399999999999998,2.01,9
2009-10-31,28.825,0.7760714285714284,1.7823571428571425,10
2009-11-30,33.45,0.7615000000000001,0.978,11
2009-12-31,18.416666666666668,1.596,2.2703333333333333,12
2010-01-31,7.990909090909091,3.352363636363637,3.9570000000000003,1
2010-02-28,,,,2
2010-03-31,4.588636363636363,3.0032272727272726,3.647795454545454,3
2010-04-30,20.912499999999998,1.77925,2.152125,4
2010-05-31,22.142857142857142,1.144142857142857,1.5835714285714286,5
2010-06-30,7.219999999999998,1.1805666666666665,1.764533333333333,6
2010-07-31,6.734482758620689,1.3689310344827588,1.6868620689655176,7
2010-08-31,2.7368421052631584,1.618684210526316,3.0107894736842105,8
2010-09-30,18.2,0.449,0.465,9
2010-10-31,,,,10
2010-11-30,2.085714285714286,0.15728571428571425,0.481,11
2010-12-31,1.8090909090909093,0.9025454545454547,1.1096363636363635,12
2011-01-31,10.3,0.258,0.40299999999999997,1
2011-02-28,1.3444444444444446,0.9268888888888885,1.4381111111111116,2
2011-03-31,1.8840336134453777,0.9040924369747902,1.196016806722689,3
2011-04-30,5.7882352941176505,0.984073529411765,1.6541911764705879,4
2011-05-31,2.557142857142857,1.3254285714285714,2.475857142857143,5
2011-06-30,3.2558823529411756,0.8192352941176471,3.0974411764705865,6
2011-07-31,3.607894736842104,0.8199210526315789,1.496184210526316,7
2011-08-31,0.9818181818181819,0.8799999999999998,2.508545454545455,8
2011-09-30,1.504,0.9217999999999997,2.47768,9
2011-10-31,0.6333333333333334,1.3866666666666667,3.246666666666666,10
2011-11-30,0.4299999999999999,0.6798,1.7390999999999999,11
2011-12-31,0.17142857142857143,1.5294285714285716,2.2575714285714286,12
2012-01-31,0.875,0.71,1.2229999999999999,1
2012-02-29,0.8742424242424245,0.7222272727272727,1.1118939393939398,2
2012-03-31,2.5549295774647898,0.7700563380281689,1.2443661971830988,3
2012-04-30,3.208,0.3801200000000001,3.08236,4
2012-05-31,1.4583333333333326,0.29750000000000015,2.9150166666666677,5
2012-06-30,38.054545454545455,0.6024090909090911,2.051909090909091,6
2012-07-31,5.216666666666668,0.5090833333333334,1.9800000000000002,7
2012-08-31,2.512499999999999,0.6168750000000001,1.2194375000000002,8
2012-09-30,1.0750000000000002,0.579,1.03275,9
2012-10-31,3.1696969696969686,0.4147575757575757,0.8965454545454548,10
2012-11-30,4.53125,0.25362500000000004,0.698625,11
2012-12-31,4.0888888888888895,0.20755555555555555,0.9414444444444443,12
2013-01-31,3.917391304347825,0.5082826086956521,1.2864565217391304,1
2013-02-28,2.173529411764706,0.40755882352941186,0.7329117647058824,2
2013-03-31,1.3039175257731943,0.6134020618556701,1.2142474226804123,3
2013-04-30,4.17155172413793,0.6689080459770121,1.3381264367816101,4
2013-05-31,4.881355932203391,0.7912881355932203,1.455593220338983,5
2013-06-30,5.065217391304351,0.9126521739130433,2.8148478260869565,6
2013-07-31,9.082857142857147,0.2636,1.0801428571428568,7
2013-08-31,3.9,0.22536363636363638,1.2281818181818183,8
2013-09-30,0.6846153846153846,0.3661538461538462,1.6174615384615385,9
2013-10-31,3.068749999999999,0.5941875,1.3348750000000003,10
2013-11-30,2.7012820512820506,0.6790256410256411,1.7178205128205133,11
2013-12-31,2.6,0.20181818181818179,0.5007272727272728,12
2014-01-31,4.4750000000000005,0.42616666666666675,0.6093333333333334,1
2014-02-28,5.216666666666668,0.7965833333333333,0.9747500000000001,2
2014-03-31,1.4174285714285706,1.0409714285714287,1.4520628571428569,3
2014-04-30,4.215891472868219,0.5677906976744185,1.0938992248062016,4
2014-05-31,4.823118279569894,0.39332258064516146,1.9838064516129026,5
2014-06-30,5.099696969696973,0.5071030303030304,3.3358818181818166,6
2014-07-31,2.1214285714285714,0.23569047619047617,1.1795238095238094,7
2014-08-31,5.875609756097562,0.3414146341463414,1.5191707317073169,8
2014-09-30,2.5960000000000014,0.34078,1.0327400000000007,9
2014-10-31,5.583870967741935,0.7994838709677415,1.4316774193548387,10
2014-11-30,6.441666666666667,0.35825,0.5001666666666665,11
2014-12-31,5.704571428571426,0.4141428571428572,1.1046571428571428,12
2015-01-31,9.933333333333334,0.23299999999999998,0.32449999999999996,1
2015-02-28,11.225,0.14700000000000002,0.22525,2
2015-03-31,2.135263157894736,0.9340631578947372,1.4983684210526316,3
2015-04-30,7.78984375,0.5138281249999999,2.055968750000001,4
2015-05-31,13.789285714285715,0.3855714285714286,2.6833095238095233,5
2015-06-30,34.42571428571427,0.2729857142857144,1.2179857142857138,6
2015-07-31,6.940350877192986,0.3530175438596492,0.8832982456140348,7
2015-08-31,1.7944444444444447,0.2867777777777778,0.7730000000000001,8
2015-09-30,4.517499999999999,0.464025,1.205325,9
2015-10-31,7.503846153846154,0.44857692307692315,0.7513461538461539,10
2015-11-30,10.668518518518523,0.9073703703703702,1.2232222222222224,11
2015-12-31,7.590781250000002,0.45128906250000017,1.0828515625,12
2016-01-31,5.921276595744681,0.12344680851063825,0.27097872340425533,1
2016-02-29,3.1592920353982286,0.38958407079646035,0.6659469026548677,2
2016-03-31,5.247536945812816,0.36936945812807886,1.0477783251231527,3
2016-04-30,6.415942028985507,0.23108695652173916,0.658768115942029,4
2016-05-31,11.715822784810126,0.26422784810126587,1.307658227848101,5
2016-06-30,14.16382978723404,0.4567872340425531,2.6029042553191477,6
2016-07-31,5.968181818181816,0.5192272727272728,1.3743636363636365,7
2016-08-31,4.958490566037734,0.7036415094339618,2.311735849056604,8
2016-09-30,4.739166666666667,0.790975,2.5335500000000004,9
2016-10-31,10.322413793103449,0.26313793103448274,0.5652413793103448,10
2016-11-30,9.98983050847458,0.3670169491525423,0.7125593220338985,11
2016-12-31,10.506451612903222,0.11430645161290322,0.22016129032258058,12
2017-01-31,6.176683937823839,0.5398290155440415,0.8156476683937829,1
2017-02-28,5.091017964071863,0.3656167664670661,0.7007844311377246,2
2017-03-31,8.897810218978098,0.24867883211678835,1.0598613138686126,3
2017-04-30,7.310273972602744,0.1756095890410959,1.113458904109589,4
2017-05-31,6.013586956521734,0.35138043478260866,2.2200543478260872,5
2017-06-30,14.624999999999993,0.4521857142857141,3.2236071428571416,6
2017-07-31,7.4419512195121795,0.5253170731707313,2.7636048780487803,7
2017-08-31,9.136363636363637,0.36995454545454537,1.5247272727272725,8
2017-09-30,11.926923076923078,0.1440769230769231,0.37323076923076925,9
2017-10-31,12.797916666666666,0.21181250000000004,0.5670416666666668,10
2017-11-30,7.093902439024392,0.1758048780487805,0.8666341463414632,11
2017-12-31,10.45909090909091,0.1884090909090909,0.39572727272727265,12
2018-01-31,7.482568807339447,1.5038165137614676,1.8218990825688086,1
2018-02-28,5.289473684210523,0.8549605263157891,1.2303618421052633,2
2018-03-31,6.815384615384615,0.22726923076923072,0.4489230769230768,3
2018-04-30,15.036521739130432,0.9229739130434782,1.6467391304347814,4
2018-05-31,11.162352941176472,0.34089411764705874,0.8595294117647059,5
2018-06-30,16.07391304347826,0.45071014492753636,0.859304347826087,6
2018-07-31,10.1258064516129,0.2048387096774193,0.43196774193548393,7
2018-08-31,7.85211267605634,0.3336338028169014,0.6451408450704226,8
2018-09-30,8.196031746031748,0.5627460317460317,1.0806984126984125,9
2018-10-31,9.513492063492071,0.4095555555555556,1.219150793650794,10
2018-11-30,9.122340425531913,0.3706702127659576,0.7788297872340425,11
2018-12-31,7.213461538461538,0.6007788461538461,1.049884615384615,12
2019-01-31,7.984905660377359,0.21935849056603768,0.41383018867924526,1
2019-02-28,4.974842767295599,0.2788050314465408,0.43123270440251593,2
2019-03-31,3.4800000000000004,0.672529032258065,0.9326838709677425,3
2019-04-30,7.600813008130086,0.15482926829268287,0.7979837398373985,4
2019-05-31,7.062977099236639,0.5790229007633589,1.2641297709923665,5
2019-06-30,13.9103448275862,0.2789741379310345,1.2517672413793102,6
2019-07-31,12.01868131868131,0.29320879120879106,1.3284395604395596,7
2019-08-31,9.023943661971831,0.5095774647887323,1.264098591549296,8
2019-09-30,6.7479166666666694,0.529375,1.2630250000000003,9
2019-10-31,5.554761904761908,0.5826309523809526,1.1735654761904768,10
2019-11-30,5.661772151898736,0.6372025316455695,1.79920253164557,11
2019-12-31,5.703644067796617,0.6665762711864403,1.4734830508474581,12
2020-01-31,5.0895348837209315,0.33583720930232547,0.6575930232558141,1
2020-02-29,4.9205263157894725,0.5518526315789474,0.8111368421052629,2
2020-03-31,3.8524793388429783,0.3797975206611569,1.421896694214876,3
2020-04-30,5.184745762711866,0.1817966101694915,1.1469999999999998,4
2020-05-31,11.090361445783136,0.30083132530120477,1.074831325301205,5
2020-06-30,16.40267857142857,0.2465714285714285,1.23025,6
2020-07-31,11.093968253968255,0.3583809523809525,1.1267142857142856,7
2020-08-31,6.781739130434784,0.25973913043478264,0.982217391304348,8
2020-09-30,5.453749999999999,0.060875000000000005,1.2141250000000001,9
2020-10-31,12.290624999999997,0.5930937500000001,1.1462812499999997,10
2020-11-30,10.223529411764707,1.6258823529411763,2.244705882352941,11
2020-12-31,15.561111111111112,1.7200555555555554,1.9300555555555556,12
2021-01-31,11.305882352941179,0.9734705882352943,1.1716470588235293,1
2021-02-28,6.358181818181818,0.8192363636363637,0.9484181818181819,2
2021-03-31,5.640350877192983,0.8182456140350879,1.3461228070175435,3
2021-04-30,8.987878787878786,0.5664242424242425,0.811090909090909,4
2021-05-31,9.059459459459461,0.20078378378378378,4.139972972972973,5
2021-06-30,13.253846153846156,0.43969230769230777,3.1518461538461553,6
2021-07-31,8.016326530612243,0.48955782312925156,1.6421632653061211,7
2021-08-31,5.3812500000000005,0.7538874999999999,2.683487499999999,8
2021-09-30,7.14111111111111,0.2730925925925925,1.5985185185185184,9
2021-10-31,4.08103448275862,0.5932586206896552,1.3125000000000004,10
2021-11-30,4.7,1.3016666666666665,4.266666666666667,11
2021-12-31,4.53867924528302,1.861113207547169,2.4773962264150953,12
2022-01-31,3.933333333333333,0.19316666666666668,0.2675,1
2022-02-28,2.405,0.7478000000000001,0.9798499999999994,2
2022-03-31,3.9904411764705876,1.1029044117647067,1.5349117647058823,3
2022-04-30,3.509,0.5428099999999998,2.1249799999999994,4
2022-05-31,6.110317460317458,0.7233174603174604,2.724222222222222,5
2022-06-30,9.69090909090909,0.35400000000000004,3.138454545454546,6
2022-07-31,6.593103448275861,0.4023793103448275,3.0911034482758626,7
2022-08-31,7.628260869565219,0.47273913043478244,2.2663695652173907,8
2022-09-30,7.260000000000001,0.7119,1.24,9
2022-10-31,,,,10
2022-11-30,2.316666666666667,0.5053333333333334,1.6310000000000002,11
2022-12-31,2.7214285714285715,0.5427857142857143,0.7977857142857143,12
2023-01-31,2.2333333333333334,0.22915384615384612,0.3735897435897435,1
2023-02-28,1.6676923076923078,0.3362307692307692,0.543523076923077,2
2023-03-31,1.0149532710280371,0.2945046728971962,0.6482990654205606,3
2023-04-30,0.964583333333334,0.30981250000000005,1.076708333333334,4
2023-05-31,6.433333333333333,0.12073333333333332,0.26199999999999996,5
2023-06-30,7.2,0.22366666666666665,1.2671666666666668,6
2023-07-31,2.3900000000000006,0.19495,2.72455,7
2023-08-31,0.7,0.31399999999999995,2.595,8
2023-09-30,0.8,0.285,1.84,9
