OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E031M09:09GC19S81:4400904,Sample-Routine,Water,Surface Water,2009-04-16,00:02:00,EDT,2009-04-16,00:02:00,EDT,Surface,1.6,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,Univeristy of Michigan;U.S. EPA Great Lakes National Program Office;U.S. Public Health Service;University of Minnesota - Duluth,EPA_GLNPO-ER31,ER31,,,,,42.2535000000,-81.1068330000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707106,,as P,Orthophosphate,Dissolved,0.358902,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC19S81-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:48,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E092G09:09GC44I12:4402722,Sample-Routine,Water,,2009-08-18,01:24:00,EDT,2009-08-18,01:24:00,EDT,Surface,0,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"Univeristy of Michigan;U.S. EPA Great Lakes National Program Office;University of Minnesota - Duluth;Cetacean Marine, Inc.;U.S. Public Health Service",EPA_GLNPO-ER92,ER92,"SRF, MEP, B-.",,,,41.9498330000,-82.6865000000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707939,,as P,Orthophosphate,Dissolved,1.063513,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC44I12-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-08-18,,,,,,,2020-07-10T17:09:58,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E038M09:09GC19I32:4400888,Sample-Routine,Water,,2009-04-15,20:04:00,EDT,2009-04-15,20:04:00,EDT,Surface,0,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,U.S. EPA Great Lakes National Program Office;U.S. Public Health Service;Univeristy of Michigan;University of Minnesota - Duluth,EPA_GLNPO-ER38,ER38,"SRF,5M,MID,20M - 20M Taken at request of Asst. Sampler.. The primary intent for combining samples was to represent conditions across different locations at approximately the same time..",,,,42.2811670000,-81.6708330000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707352,,as P,Orthophosphate,Dissolved,0.222589,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC19I32-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:51,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E031G09:09GC45D82:4402856,Quality Control Sample-Field Replicate,Water,Surface Water,2009-08-19,06:14:00,EDT,2009-08-19,06:14:00,EDT,AboveThermoclin,9.8,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"Univeristy of Michigan;U.S. Public Health Service;U.S. EPA Great Lakes National Program Office;Cetacean Marine, Inc.;University of Minnesota - Duluth",EPA_GLNPO-ER31,ER31,,,,,42.2533330000,-81.1071670000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707053,,as P,Orthophosphate,Dissolved,0.52756,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC45D82-FDn1-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-08-19,,,,,,,2020-07-10T17:09:48,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E042M09:09GC18S43:4400793,Sample-Routine,Water,Surface Water,2009-04-15,06:26:00,EDT,2009-04-15,06:26:00,EDT,Midwater,11.1,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,U.S. Public Health Service;U.S. EPA Great Lakes National Program Office;Univeristy of Michigan;University of Minnesota - Duluth,EPA_GLNPO-ER42,ER42,,,,,41.9648330000,-82.0421670000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707423,,as P,Orthophosphate,Dissolved,0.463003,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC18S43-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-15,,,,,,,2020-07-10T17:09:52,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E015G09:09GC46S35:4402908,Sample-Routine,Water,Surface Water,2009-08-19,17:23:00,EDT,2009-08-19,17:23:00,EDT,Deep Chl Layer,20.9,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"Cetacean Marine, Inc.;U.S. EPA Great Lakes National Program Office;U.S. Public Health Service;Univeristy of Michigan;University of Minnesota - Duluth",EPA_GLNPO-ER15M,ER15M,same as TRM.,,,,42.5165000000,-79.8931670000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-996629038,,as P,"Total Phosphorus, mixed forms",Non-Filterable (Particle),3.7608,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC46S35-RFS0-P-Part,,,,,,,,,,LG209,EPA_GLNPO,Particulate-Phase Total P by Lachat Method,,,,2009-12-29,,,,,,,2023-12-18T20:48:11,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E009M09:09GC20S91:4401003,Sample-Routine,Water,Surface Water,2009-04-16,12:54:00,EDT,2009-04-16,12:54:00,EDT,Bottom,48.6,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,Univeristy of Michigan;U.S. Public Health Service;U.S. EPA Great Lakes National Program Office;University of Minnesota - Duluth,EPA_GLNPO-ER09,ER09,,,,,42.5333330000,-79.6166670000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706838,,as P,Orthophosphate,Dissolved,2.767998,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC20S91-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:45,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E009M09:09GC20S90:4401002,Sample-Routine,Water,Surface Water,2009-04-16,12:54:00,EDT,2009-04-16,12:54:00,EDT,Near Bottom,39.5,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,U.S. EPA Great Lakes National Program Office;University of Minnesota - Duluth;Univeristy of Michigan;U.S. Public Health Service,EPA_GLNPO-ER09,ER09,,,,,42.5333330000,-79.6166670000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706837,,as P,Orthophosphate,Dissolved,2.573396,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC20S90-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:45,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E015G09:09GC46S31:4402911,Sample-Routine,Water,Surface Water,2009-08-19,17:23:00,EDT,2009-08-19,17:23:00,EDT,Bottom,61.8,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"Cetacean Marine, Inc.;U.S. EPA Great Lakes National Program Office;U.S. Public Health Service;Univeristy of Michigan;University of Minnesota - Duluth",EPA_GLNPO-ER15M,ER15M,,,,,42.5165000000,-79.8931670000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706939,,as P,Orthophosphate,Dissolved,2.166193,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC46S31-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-08-19,,,,,,,2020-07-10T17:09:46,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E061G09:09GC43S02:4402673,Sample-Routine,Water,Surface Water,2009-08-17,18:10:00,EDT,2009-08-17,18:10:00,EDT,AboveThermoclin,4.7,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"University of Minnesota - Duluth;Univeristy of Michigan;U.S. EPA Great Lakes National Program Office;Cetacean Marine, Inc.;U.S. Public Health Service",EPA_GLNPO-ER61,ER61,,,,,41.9465000000,-83.0455000000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707678,,as P,Orthophosphate,Dissolved,0.8,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC43S02-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-08-18,,,,,,,2020-07-10T17:09:55,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E009G09:09GC46S82:4402963,Sample-Routine,Water,Surface Water,2009-08-20,00:17:00,EDT,2009-08-20,00:17:00,EDT,AboveThermoclin,11,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"U.S. EPA Great Lakes National Program Office;Cetacean Marine, Inc.;University of Minnesota - Duluth;Univeristy of Michigan;U.S. Public Health Service",EPA_GLNPO-ER09,ER09,,,,,42.5378330000,-79.6163170000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706780,,as P,Orthophosphate,Dissolved,0.819406,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC46S82-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-08-20,,,,,,,2020-07-10T17:09:44,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E010M09:09GC21S03:4401009,Sample-Routine,Water,Surface Water,2009-04-16,14:26:00,EDT,2009-04-16,14:26:00,EDT,Midwater,16.6,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,University of Minnesota - Duluth;Univeristy of Michigan;U.S. Public Health Service;U.S. EPA Great Lakes National Program Office,EPA_GLNPO-ER10,ER10,,,,,42.6798330000,-79.6920000000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706914,,as P,Orthophosphate,Dissolved,1.619298,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC21S03-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:46,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E010G09:09GC47I12:4402974,Sample-Routine,Water,,2009-08-20,02:12:00,EDT,2009-08-20,02:12:00,EDT,Surface,0,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"University of Minnesota - Duluth;Univeristy of Michigan;U.S. Public Health Service;U.S. EPA Great Lakes National Program Office;Cetacean Marine, Inc.",EPA_GLNPO-ER10,ER10,"SRF, 5M, MEP.",,,,42.6801670000,-79.6913330000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706851,,as P,Orthophosphate,Dissolved,0.367337,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC47I12-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-08-20,,,,,,,2020-07-10T17:09:45,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E037G09:09GC45S11:4402791,Sample-Routine,Water,Surface Water,2009-08-19,00:35:00,EDT,2009-08-19,00:35:00,EDT,Bottom,23.4,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"Cetacean Marine, Inc.;U.S. EPA Great Lakes National Program Office;U.S. Public Health Service;Univeristy of Michigan;University of Minnesota - Duluth",EPA_GLNPO-ER37,ER37,DO: .36.,,,,42.1095000000,-81.5746670000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707245,,as P,Orthophosphate,Dissolved,2.086129,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC45S11-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-08-19,,,,,,,2020-07-10T17:09:50,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E092G09:09GC44S02:4402720,Sample-Routine,Water,Surface Water,2009-08-18,01:24:00,EDT,2009-08-18,01:24:00,EDT,AboveThermoclin,5.9,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"Cetacean Marine, Inc.;Univeristy of Michigan;U.S. Public Health Service;U.S. EPA Great Lakes National Program Office;University of Minnesota - Duluth",EPA_GLNPO-ER92,ER92,,,,,41.9498330000,-82.6865000000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707941,,as P,Orthophosphate,Dissolved,0.579605,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC44S02-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-08-18,,,,,,,2020-07-10T17:09:58,STORET
